# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.6397    0.2472       0.7238     0.4246     0.5754     0.1509     0.1193
"           0.6397    0.2472       0.5112     0.3710     0.6290     0.2579     0.2411
#           0.6397    0.2472       0.6111     0.3438     0.6562     0.3124     0.2926
$           0.6397    0.2472       0.7324     0.3667     0.6333     0.2666     0.2467
%           0.6397    0.2110       0.7813     0.2984     0.7016     0.4032     0.3833
&           0.6397    0.3226       0.6218     0.2734     0.7266     0.4531     0.4414
'           0.6397    0.2472       0.5112     0.4246     0.5754     0.1509     0.1366
(           0.6397    0.2115       0.7650     0.3583     0.6417     0.2834     0.2676
)           0.6397    0.2115       0.7650     0.3583     0.6417     0.2834     0.2676
*           0.6397    0.3858       0.6840     0.3721     0.6279     0.2559     0.2355
+           0.6397    0.3797       0.6922     0.3693     0.6307     0.2615     0.2436
,           0.6397    0.5224       0.7864     0.4246     0.5754     0.1509     0.1351
-           0.6397    0.4062       0.6081     0.4246     0.5754     0.1509     0.1330
.           0.6397    0.5224       0.7238     0.4246     0.5754     0.1509     0.1351
/           0.6397    0.2110       0.7813     0.3639     0.6361     0.2722     0.2406
0           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4118
1           0.6397    0.2472       0.7283     0.4325     0.5675     0.1351     0.1188
2           0.6397    0.2472       0.7283     0.3341     0.6659     0.3318     0.3063
3           0.6397    0.2472       0.7283     0.3588     0.6412     0.2824     0.2620
4           0.6397    0.2472       0.7283     0.3570     0.6430     0.2859     0.2686
5           0.6397    0.2472       0.7283     0.3540     0.6460     0.2920     0.2645
6           0.6397    0.2472       0.7294     0.3366     0.6634     0.3267     0.3104
7           0.6397    0.2472       0.7288     0.3519     0.6481     0.2961     0.2768
8           0.6397    0.2467       0.7283     0.3532     0.6468     0.2936     0.2762
9           0.6397    0.2472       0.7294     0.3366     0.6634     0.3267     0.3109
:           0.6397    0.4062       0.7238     0.4246     0.5754     0.1509     0.1325
;           0.6397    0.4062       0.7864     0.4246     0.5754     0.1509     0.1346
<           0.6397    0.3925       0.6789     0.4072     0.5928     0.1855     0.1667
=           0.6397    0.3930       0.6789     0.3693     0.6307     0.2615     0.2436
>           0.6397    0.3925       0.6789     0.4072     0.5928     0.1855     0.1677
?           0.6397    0.2472       0.7258     0.3366     0.6634     0.3267     0.3073
@           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4164
A           0.6397    0.2472       0.8405     0.2979     0.7021     0.4042     0.3109
B           0.6397    0.2472       0.7283     0.3591     0.6409     0.2819     0.2625
C           0.6397    0.2472       0.7294     0.3583     0.6417     0.2834     0.2676
D           0.6397    0.2472       0.7294     0.3206     0.6794     0.3588     0.3415
E           0.6397    0.2472       0.7294     0.3583     0.6417     0.2834     0.2696
F           0.6397    0.2472       0.7283     0.3708     0.6292     0.2584     0.2421
G           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4154
H           0.6397    0.2472       0.8405     0.2887     0.7113     0.4225     0.3272
I           0.6397    0.2472       0.7283     0.4325     0.5675     0.1351     0.1188
J           0.6397    0.2472       0.7294     0.3545     0.6455     0.2910     0.2742
K           0.6397    0.2477       0.8405     0.3109     0.6891     0.3782     0.2844
L           0.6397    0.2472       0.7283     0.3835     0.6165     0.2329     0.2125
M           0.6397    0.2472       0.8405     0.2467     0.7533     0.5066     0.4118
N           0.6397    0.2472       0.8405     0.3178     0.6822     0.3644     0.2696
O           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4118
P           0.6397    0.2472       0.7283     0.3366     0.6634     0.3267     0.3104
Q           0.6397    0.2472       0.8466     0.2844     0.7156     0.4312     0.4139
R           0.6397    0.2472       0.7283     0.3366     0.6634     0.3267     0.3094
S           0.6397    0.2472       0.7288     0.3672     0.6328     0.2655     0.2467
T           0.6397    0.2472       0.7283     0.3517     0.6483     0.2966     0.2768
U           0.6397    0.2462       0.7283     0.3570     0.6430     0.2859     0.2696
V           0.6397    0.2467       0.7345     0.3298     0.6702     0.3405     0.3073
W           0.6397    0.2472       0.7283     0.2859     0.7141     0.4281     0.4118
X           0.6397    0.2472       0.7283     0.3570     0.6430     0.2859     0.2676
Y           0.6397    0.2472       0.7283     0.3570     0.6430     0.2859     0.2701
Z           0.6397    0.2472       0.7283     0.3435     0.6565     0.3129     0.2864
[           0.6397    0.1896       0.8303     0.3835     0.6165     0.2329     0.2192
\           0.6397    0.2110       0.7813     0.3639     0.6361     0.2722     0.2446
]           0.6397    0.1896       0.8303     0.3833     0.6167     0.2334     0.2171
^           0.6397    0.2503       0.4867     0.3820     0.6180     0.2360     0.2181
_           0.6397    0.5377       0.7238     0.3369     0.6631     0.3262     0.3084
`           0.6397    0.2497       0.5092     0.4128     0.5872     0.1743     0.1565
a           0.6397    0.3517       0.7294     0.3366     0.6634     0.3267     0.3104
b           0.6397    0.2472       0.7283     0.3366     0.6634     0.3267     0.3084
c           0.6397    0.3507       0.7283     0.3846     0.6154     0.2309     0.2136
d           0.6397    0.2472       0.7283     0.3366     0.6634     0.3267     0.3104
e           0.6397    0.3517       0.7294     0.3496     0.6504     0.3007     0.2829
f           0.6397    0.2472       0.7283     0.3560     0.6440     0.2880     0.2666
g           0.6397    0.3517       1.0000     0.3369     0.6631     0.3262     0.3104
h           0.6397    0.2472       0.8405     0.3180     0.6820     0.3639     0.2686
i           0.6397    0.2426       0.7283     0.4246     0.5754     0.1509     0.1182
j           0.6397    0.2426       0.8405     0.3897     0.6103     0.2207     0.1177
k           0.6397    0.2477       0.8405     0.3219     0.6781     0.3563     0.2599
l           0.6397    0.2482       0.7283     0.4325     0.5675     0.1351     0.1177
m           0.6397    0.3517       0.8405     0.2467     0.7533     0.5066     0.4118
n           0.6397    0.3517       0.8405     0.3178     0.6822     0.3644     0.2686
o           0.6397    0.3517       0.7294     0.3366     0.6634     0.3267     0.3073
p           0.6397    0.3517       0.8328     0.3366     0.6634     0.3267     0.3073
q           0.6397    0.3517       0.8328     0.3366     0.6634     0.3267     0.3094
r           0.6397    0.3517       0.7283     0.3948     0.6052     0.2105     0.1896
s           0.6397    0.3517       0.7278     0.3667     0.6333     0.2666     0.2457
t           0.6397    0.2910       0.7283     0.3570     0.6430     0.2859     0.2666
u           0.6397    0.3517       0.7283     0.3570     0.6430     0.2859     0.2696
v           0.6397    0.3512       0.7339     0.3583     0.6417     0.2834     0.2554
w           0.6397    0.3507       0.7273     0.2857     0.7143     0.4286     0.4118
x           0.6397    0.3517       0.7283     0.3570     0.6430     0.2859     0.2686
y           0.6397    0.3517       0.8405     0.3570     0.6430     0.2859     0.2686
z           0.6397    0.3517       0.7283     0.3507     0.6493     0.2987     0.2732
{           0.6397    0.1896       0.8303     0.3835     0.6165     0.2329     0.1942
|           0.6397    0.1962       0.7793     0.4325     0.5675     0.1351     0.1177
}           0.6397    0.1896       0.8303     0.3833     0.6167     0.2334     0.1942
~           0.6397    0.2477       0.4531     0.3792     0.6208     0.2416     0.2238
¡           0.6397    0.2472       0.7238     0.4246     0.5754     0.1509     0.1193
¢           0.6397    0.2472       0.7324     0.3846     0.6154     0.2309     0.1922
£           0.6397    0.2472       0.7238     0.3285     0.6715     0.3430     0.3048
¥           0.6397    0.1983       0.7283     0.3428     0.6572     0.3145     0.2961
§           0.6397    0.2472       0.7283     0.3140     0.6860     0.3721     0.3547
¨           0.6397    0.0612       0.2625     0.3759     0.6241     0.2482     0.2334
©           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4144
ª           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
«           0.6397    0.3925       0.6789     0.3524     0.6476     0.2951     0.2778
¬           0.6397    0.1244       0.6371     0.1580     0.8420     0.6840     0.6886
®           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4118
¯           0.6397    0.1784       0.3644     0.3754     0.6246     0.2492     0.2910
°           0.6397    0.2472       0.4704     0.4139     0.5861     0.1723     0.1340
±           0.6397    0.3287       0.7238     0.3690     0.6310     0.2620     0.2401
´           0.6397    0.0051       0.2645     0.4128     0.5872     0.1743     0.1555
µ           0.6397    0.3517       0.8410     0.3078     0.6922     0.3843     0.3634
¶           0.6397    0.2472       0.7283     0.3038     0.6962     0.3925     0.3726
·           0.6397    0.5224       0.7238     0.4246     0.5754     0.1509     0.1244
¸           0.6397    0.6397       0.8114     0.4164     0.5836     0.1672     0.1942
º           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
»           0.6397    0.3925       0.6789     0.3522     0.6478     0.2956     0.2788
¿           0.6397    0.2472       0.7258     0.3366     0.6634     0.3267     0.3028
À           0.6397    0.0194       0.8405     0.2979     0.7021     0.4042     0.3170
Á           0.6397    0.0051       0.8405     0.2979     0.7021     0.4042     0.3094
Â           0.6397    0.0464       0.8405     0.2979     0.7021     0.4042     0.3170
Ã           0.6397    0.0693       0.8405     0.2979     0.7021     0.4042     0.2880
Ä           0.6397    0.0306       0.8405     0.2979     0.7021     0.4042     0.2880
Å           0.6397    0.1147       0.8405     0.2979     0.7021     0.4042     0.2880
Æ           0.6397    0.2472       0.7294     0.2625     0.7375     0.4750     0.4551
Ç           0.6397    0.2472       0.8262     0.3583     0.6417     0.2834     0.2441
È           0.6397    0.0204       0.7294     0.3583     0.6417     0.2834     0.2426
É           0.6397    0.0051       0.7294     0.3583     0.6417     0.2834     0.2426
Ê           0.6397    0.0362       0.7294     0.3583     0.6417     0.2834     0.2722
Ë           0.6397    0.0306       0.7294     0.3583     0.6417     0.2834     0.2426
Ì           0.6397    0.0204       0.7283     0.4128     0.5872     0.1743     0.0963
Í           0.6397    0.0051       0.7283     0.4128     0.5872     0.1743     0.0963
Î           0.6397    0.0413       0.7283     0.3820     0.6180     0.2360     0.0963
Ï           0.6397    0.0306       0.7283     0.3759     0.6241     0.2482     0.0963
Ð           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
Ñ           0.6397    0.1305       0.8405     0.3178     0.6822     0.3644     0.2477
Ò           0.6397    0.0000       0.7294     0.2844     0.7156     0.4312     0.3919
Ó           0.6397    0.0102       0.7294     0.2844     0.7156     0.4312     0.3919
Ô           0.6397    0.0362       0.7294     0.2844     0.7156     0.4312     0.3919
Õ           0.6397    0.0693       0.7294     0.2844     0.7156     0.4312     0.3919
Ö           0.6397    0.0306       0.7294     0.2844     0.7156     0.4312     0.3919
Ø           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4174
Ù           0.6397    0.0306       0.7283     0.3570     0.6430     0.2859     0.2477
Ú           0.6397    0.0051       0.7283     0.3570     0.6430     0.2859     0.2477
Û           0.6397    0.0413       0.7283     0.3570     0.6430     0.2859     0.2477
Ü           0.6397    0.0306       0.7283     0.3570     0.6430     0.2859     0.2477
Ý           0.6397    0.1147       0.6442     0.3902     0.6098     0.2197     0.2477
Þ           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
ß           0.6397    0.2472       0.8267     0.3591     0.6409     0.2819     0.2569
à           0.6397    0.1019       0.7294     0.3366     0.6634     0.3267     0.2880
á           0.6397    0.0561       0.7294     0.3366     0.6634     0.3267     0.2880
â           0.6397    0.1483       0.7294     0.3366     0.6634     0.3267     0.2880
ã           0.6397    0.1764       0.7294     0.3366     0.6634     0.3267     0.2880
ä           0.6397    0.1325       0.7294     0.3366     0.6634     0.3267     0.2880
å           0.6397    0.1351       0.7294     0.3366     0.6634     0.3267     0.2880
æ           0.6397    0.3517       0.7294     0.2538     0.7462     0.4924     0.4715
ç           0.6397    0.3507       0.8262     0.3846     0.6154     0.2309     0.1922
è           0.6397    0.1223       0.7294     0.3496     0.6504     0.3007     0.2620
é           0.6397    0.1121       0.7294     0.3496     0.6504     0.3007     0.2620
ê           0.6397    0.1432       0.7294     0.3496     0.6504     0.3007     0.2620
ë           0.6397    0.1325       0.7294     0.3496     0.6504     0.3007     0.2620
ì           0.6397    0.1172       0.7283     0.4128     0.5872     0.1743     0.0968
í           0.6397    0.1121       0.7283     0.4128     0.5872     0.1743     0.0968
î           0.6397    0.1432       0.7283     0.3820     0.6180     0.2360     0.0968
ï           0.6397    0.1325       0.7283     0.3759     0.6241     0.2482     0.0968
ð           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
ñ           0.6397    0.1662       0.8405     0.3178     0.6822     0.3644     0.2477
ò           0.6397    0.1172       0.7294     0.3366     0.6634     0.3267     0.2885
ó           0.6397    0.1121       0.7294     0.3366     0.6634     0.3267     0.2885
ô           0.6397    0.1432       0.7294     0.3366     0.6634     0.3267     0.2885
õ           0.6397    0.1611       0.7294     0.3366     0.6634     0.3267     0.2885
ö           0.6397    0.1325       0.7294     0.3366     0.6634     0.3267     0.2885
÷           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
ø           0.6397    0.2472       0.7294     0.2844     0.7156     0.4312     0.4098
ù           0.6397    0.1325       0.7283     0.3570     0.6430     0.2859     0.2477
ú           0.6397    0.1121       0.7283     0.3570     0.6430     0.2859     0.2477
û           0.6397    0.1432       0.7283     0.3570     0.6430     0.2859     0.2477
ü           0.6397    0.1325       0.7283     0.3570     0.6430     0.2859     0.2477
þ           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
ÿ           0.6397    0.1325       0.8405     0.3570     0.6430     0.2859     0.2819
ı           0.6397    0.3517       0.7283     0.4325     0.5675     0.1351     0.0968
Ł           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
ł           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
Œ           0.6397    0.2472       0.7294     0.2102     0.7898     0.5795     0.5423
œ           0.6397    0.3517       0.7294     0.2538     0.7462     0.4924     0.4541
Š           0.6397    0.1060       0.7288     0.3672     0.6328     0.2655     0.2263
š           0.6397    0.2080       0.7278     0.3667     0.6333     0.2666     0.2273
Ÿ           0.6397    0.0306       0.7283     0.3570     0.6430     0.2859     0.2712
Ž           0.6397    0.1060       0.7283     0.3435     0.6565     0.3129     0.2441
ž           0.6397    0.2080       0.7283     0.3507     0.6493     0.2987     0.2227
ƒ           0.6397    0.2472       0.8338     0.3499     0.6501     0.3002     0.2421
ˆ           0.6397    0.1279       0.3644     0.3820     0.6180     0.2360     0.1983
ˇ           0.6397    0.1264       0.3629     0.3820     0.6180     0.2360     0.1983
ˉ           0.6397    0.1784       0.3644     0.3754     0.6246     0.2492     0.2910
˘           0.6397    0.1376       0.3649     0.3914     0.6086     0.2171     0.2222
˙           0.6397    0.1636       0.3649     0.4246     0.5754     0.1509     0.2222
˚           0.6397    0.1402       0.3634     0.4139     0.5861     0.1723     0.1340
˛           0.6397    0.6397       0.8114     0.4167     0.5833     0.1667     0.2538
˜           0.6397    0.1662       0.3716     0.3792     0.6208     0.2416     0.2003
˝           0.6397    0.2319       0.6397     0.2762     0.7238     0.4475     0.4750
Δ           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
Ω           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
μ           0.6397    0.3517       0.8410     0.3078     0.6922     0.3843     0.3634
π           0.6397    0.3527       0.7283     0.3517     0.6483     0.2966     0.2788
‐           0.6397    0.4062       0.6081     0.4246     0.5754     0.1509     0.1330
–           0.6397    0.4470       0.6330     0.3721     0.6279     0.2559     0.2151
—           0.6397    0.4470       0.6330     0.3211     0.6789     0.3578     0.3175
‘           0.6397    0.2472       0.5112     0.4246     0.5754     0.1509     0.1320
’           0.6397    0.2472       0.5112     0.4246     0.5754     0.1509     0.1320
‚           0.6397    0.5224       0.7864     0.4246     0.5754     0.1509     0.1325
“           0.6397    0.2472       0.5112     0.3710     0.6290     0.2579     0.2360
”           0.6397    0.2472       0.5112     0.3710     0.6290     0.2579     0.2294
„           0.6397    0.5224       0.7864     0.3575     0.6425     0.2849     0.2712
†           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5984
‡           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
•           0.6397    0.3680       0.6213     0.3988     0.6012     0.2023     0.1916
…           0.6397    0.5224       0.7238     0.3040     0.6960     0.3919     0.3777
‰           0.6397    0.2110       0.7813     0.2798     0.7202     0.4404     0.4205
‹           0.6397    0.3925       0.6789     0.4072     0.5928     0.1855     0.1764
›           0.6397    0.3925       0.6789     0.4072     0.5928     0.1855     0.1738
⁄           0.6397    0.2110       0.7813     0.3639     0.6361     0.2722     0.2370
€           0.6397    0.2472       0.7294     0.3387     0.6613     0.3226     0.2977
™           0.6397    0.2472       0.5265     0.3224     0.6776     0.3552     0.3359
Ω           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
∂           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
∆           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
∏           0.6397    0.2472       0.7283     0.3517     0.6483     0.2966     0.2742
∑           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
∙           0.6397    0.5224       0.7238     0.4246     0.5754     0.1509     0.1244
√           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
∞           0.6397    0.2319       0.6397     0.2806     0.7194     0.4388     0.4750
∫           0.6397    0.2472       0.8338     0.3344     0.6656     0.3313     0.2115
≈           0.6397    0.3517       0.9857     0.3361     0.6639     0.3277     0.3109
≠           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
≤           0.6397    0.3517       0.7238     0.3899     0.6101     0.2202     0.2008
≥           0.6397    0.3568       0.7238     0.3899     0.6101     0.2202     0.1993
⋲           0.6397    0.3517       0.9857     0.3361     0.6639     0.3277     0.3109
◊           0.6397    0.1096       0.6228     0.2141     0.7859     0.5719     0.5622
U+F001      0.6397    0.2426       0.7283     0.2987     0.7013     0.4027     0.3930
U+F002      0.6397    0.2472       0.7283     0.3050     0.6950     0.3899     0.3843

# Missing mapped glyphs (present in cmap but not exportable):
       (U+0020)
