# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
"           1.0000    0.0000       0.2806     0.2604     0.7396     0.4791     0.7761
#           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
$           1.0000    0.0000       0.6761     0.3104     0.6896     0.3791     0.7761
%           1.0000    0.0985       0.5776     0.2112     0.7888     0.5776     0.7761
&           1.0000    0.0000       0.6761     0.2604     0.7396     0.4791     0.6269
'           1.0000    0.0000       0.2806     0.4090     0.5910     0.1821     0.5179
(           1.0000    0.0000       0.6761     0.3104     0.6896     0.3791     0.7761
)           1.0000    0.0000       0.6761     0.3104     0.6896     0.3791     0.7761
*           1.0000    0.1970       0.4791     0.3597     0.6403     0.2806     0.7761
+           1.0000    0.0985       0.5776     0.2112     0.7888     0.5776     0.6746
,           1.0000    0.5925       0.8746     0.3597     0.6403     0.2806     0.4806
-           1.0000    0.2955       0.3791     0.2604     0.7396     0.4791     0.5925
.           1.0000    0.5925       0.7746     0.4090     0.5910     0.1821     0.4806
/           1.0000    0.0000       0.6761     0.2112     0.7888     0.5776     0.7761
0           1.0000    0.0000       0.6761     0.2112     0.7888     0.5776     0.6776
1           1.0000    0.0000       0.6761     0.2112     0.7888     0.5776     0.6746
2           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
3           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
4           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
5           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
6           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
7           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
8           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
9           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
:           1.0000    0.0985       0.5776     0.4090     0.5910     0.1821     0.2970
;           1.0000    0.0985       0.6761     0.4090     0.5910     0.1821     0.2955
<           1.0000    0.0985       0.5776     0.3104     0.6896     0.3791     0.7761
=           1.0000    0.1970       0.4791     0.2604     0.7396     0.4791     0.5955
>           1.0000    0.0985       0.5776     0.3104     0.6896     0.3791     0.7761
?           1.0000    0.0000       0.6761     0.2112     0.7888     0.5776     0.7761
@           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
A           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
B           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
C           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
D           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
E           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
F           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
G           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
H           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
I           1.0000    0.0000       0.6761     0.2112     0.7888     0.5776     0.7761
J           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
K           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
L           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
M           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
N           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
O           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
P           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
Q           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
R           1.0000    0.0000       0.6761     0.1619     0.8381     0.6761     0.7761
