# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.8148    0.1805       0.8148     0.4281     0.5719     0.1439     0.1858
"           0.8148    0.1805       0.3805     0.3448     0.6552     0.3103     0.3505
#           0.8148    0.1805       0.8148     0.1904     0.8096     0.6193     0.6564
$           0.8148    0.0415       0.9530     0.2453     0.7547     0.5094     0.5540
%           0.8148    0.1792       0.8157     0.1963     0.8037     0.6074     0.6356
&           0.8148    0.1819       0.8148     0.2316     0.7684     0.5367     0.5743
'           0.8148    0.1805       0.3805     0.4331     0.5669     0.1337     0.1752
(           0.8148    0.0795       0.9344     0.3568     0.6432     0.2865     0.3328
)           0.8148    0.0795       0.9344     0.3568     0.6432     0.2865     0.3341
*           0.8148    0.1196       0.3831     0.3623     0.6377     0.2754     0.3165
+           0.8148    0.3386       0.6343     0.3320     0.6680     0.3359     0.3853
,           0.8148    0.6877       0.9247     0.4289     0.5711     0.1421     0.1761
-           0.8148    0.4242       0.5407     0.3517     0.6483     0.2966     0.3421
.           0.8148    0.6983       0.8148     0.4281     0.5719     0.1439     0.1885
/           0.8148    0.1792       0.8157     0.3157     0.6843     0.3686     0.3686
0           0.8148    0.1801       0.8153     0.2744     0.7256     0.4511     0.4975
1           0.8148    0.1805       0.8148     0.3693     0.6307     0.2613     0.2953
2           0.8148    0.1795       0.8162     0.2537     0.7463     0.4926     0.5244
3           0.8148    0.1795       0.8124     0.2574     0.7426     0.4851     0.5284
4           0.8148    0.1805       0.8148     0.2272     0.7728     0.5456     0.5769
5           0.8148    0.1814       0.8184     0.2605     0.7395     0.4789     0.5257
6           0.8148    0.1801       0.8139     0.2767     0.7233     0.4467     0.4917
7           0.8148    0.1792       0.8148     0.2808     0.7192     0.4383     0.4670
8           0.8148    0.1810       0.8126     0.2672     0.7328     0.4657     0.5107
9           0.8148    0.1801       0.8139     0.2767     0.7233     0.4467     0.4930
:           0.8148    0.3619       0.8153     0.4276     0.5724     0.1448     0.1872
;           0.8148    0.3619       0.9605     0.4276     0.5724     0.1448     0.1885
<           0.8148    0.2865       0.7177     0.2654     0.7346     0.4692     0.5173
=           0.8148    0.3430       0.6219     0.3517     0.6483     0.2966     0.3421
>           0.8148    0.2865       0.7177     0.2654     0.7346     0.4692     0.5147
?           0.8148    0.1779       0.8153     0.2586     0.7414     0.4829     0.5270
@           0.8148    0.1629       0.9746     0.1005     0.8995     0.7989     0.8382
A           0.8148    0.1819       0.8148     0.2142     0.7858     0.5716     0.5999
B           0.8148    0.1805       0.8153     0.2389     0.7611     0.5222     0.5659
C           0.8148    0.1801       0.8148     0.2091     0.7909     0.5818     0.6184
D           0.8148    0.1788       0.8148     0.2530     0.7470     0.4939     0.5403
E           0.8148    0.1805       0.8148     0.2667     0.7333     0.4666     0.5094
F           0.8148    0.1805       0.8148     0.2674     0.7326     0.4652     0.5081
G           0.8148    0.1801       0.8148     0.1974     0.8026     0.6052     0.6453
H           0.8148    0.1805       0.8148     0.2160     0.7840     0.5681     0.6144
I           0.8148    0.1805       0.8148     0.4281     0.5719     0.1439     0.1885
