# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.8382    0.2220       0.8364     0.4243     0.5757     0.1513     0.2252
"           0.8382    0.2043       0.3888     0.3942     0.6058     0.2116     0.2710
$           0.8382    0.1464       0.9293     0.2861     0.7139     0.4277     0.4658
&           0.8382    0.2225       0.8392     0.2648     0.7352     0.4703     0.5288
'           0.8382    0.2043       0.3888     0.4522     0.5478     0.0956     0.1599
(           0.8382    0.0933       0.9751     0.4053     0.5947     0.1894     0.2836
)           0.8382    0.0933       0.9751     0.4053     0.5947     0.1894     0.2836
,           0.8382    0.6289       0.8636     0.4060     0.5940     0.1880     0.2932
-           0.8382    0.4073       0.5242     0.3942     0.6058     0.2116     0.3240
.           0.8382    0.6498       0.7929     0.4418     0.5582     0.1164     0.2642
/           0.8382    0.1160       0.9946     0.3838     0.6162     0.2324     0.3063
0           0.8382    0.2220       0.8387     0.2878     0.7122     0.4244     0.4993
1           0.8382    0.2211       0.8387     0.3842     0.6158     0.2315     0.4993
2           0.8382    0.2211       0.8382     0.2911     0.7089     0.4178     0.4993
3           0.8382    0.2225       0.8386     0.2879     0.7121     0.4242     0.4980
4           0.8382    0.2220       0.8382     0.2714     0.7286     0.4572     0.4993
5           0.8382    0.2225       0.8391     0.2859     0.7141     0.4282     0.4993
6           0.8382    0.2211       0.8382     0.2875     0.7125     0.4250     0.4993
7           0.8382    0.2220       0.8387     0.2886     0.7114     0.4227     0.4993
8           0.8382    0.2207       0.8382     0.2895     0.7105     0.4210     0.4993
9           0.8382    0.2211       0.8382     0.2875     0.7125     0.4250     0.4993
:           0.8382    0.4286       0.7929     0.4418     0.5582     0.1164     0.2642
;           0.8382    0.4291       0.8636     0.4060     0.5940     0.1880     0.2932
?           0.8382    0.2225       0.8369     0.2952     0.7048     0.4096     0.4617
A           0.8382    0.1767       0.8546     0.2102     0.7898     0.5795     0.5918
B           0.8382    0.2225       0.8528     0.2667     0.7333     0.4667     0.5211
C           0.8382    0.2234       0.8437     0.2412     0.7588     0.5175     0.5650
D           0.8382    0.2225       0.8402     0.2452     0.7548     0.5096     0.5514
E           0.8382    0.2211       0.8396     0.2710     0.7290     0.4581     0.5016
F           0.8382    0.2220       0.8500     0.2870     0.7130     0.4259     0.4694
