# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.8113    0.2026       0.8113     0.4738     0.5262     0.0523     0.1440
"           0.8113    0.2026       0.3255     0.4393     0.5607     0.1215     0.2400
#           0.8113    0.3313       0.7638     0.3224     0.6776     0.3553     0.4004
$           0.8113    0.1368       0.8617     0.3087     0.6913     0.3826     0.4868
%           0.8113    0.2021       0.8113     0.1416     0.8584     0.7168     0.7681
&           0.8113    0.2021       0.8209     0.2489     0.7511     0.5022     0.4926
'           0.8113    0.2026       0.3255     0.4827     0.5173     0.0346     0.1191
(           0.8113    0.2012       0.8113     0.4157     0.5843     0.1685     0.1920
)           0.8113    0.2012       0.8113     0.4157     0.5843     0.1685     0.1920
*           0.8113    0.2026       0.5223     0.3401     0.6599     0.3197     0.3673
+           0.8113    0.3519       0.7302     0.3224     0.6776     0.3553     0.4033
,           0.8113    0.7590       0.8675     0.4734     0.5266     0.0533     0.0960
-           0.8113    0.5233       0.5559     0.3224     0.6776     0.3553     0.4090
.           0.8113    0.7590       0.8113     0.4738     0.5262     0.0523     0.0960
/           0.8113    0.2026       0.8113     0.3320     0.6680     0.3361     0.3361
0           0.8113    0.2026       0.8113     0.3752     0.6248     0.2496     0.2880
1           0.8113    0.2050       0.8113     0.4265     0.5735     0.1469     0.1771
2           0.8113    0.2026       0.8113     0.3310     0.6690     0.3380     0.3841
3           0.8113    0.2026       0.8113     0.3461     0.6539     0.3077     0.3874
4           0.8113    0.1988       0.8113     0.3032     0.6968     0.3937     0.4129
5           0.8113    0.2026       0.8113     0.3387     0.6613     0.3226     0.3553
6           0.8113    0.2045       0.8113     0.3375     0.6625     0.3250     0.3500
7           0.8113    0.2012       0.8113     0.3034     0.6966     0.3932     0.4057
8           0.8113    0.2045       0.8113     0.3301     0.6699     0.3399     0.3605
9           0.8113    0.2045       0.8113     0.3375     0.6625     0.3250     0.3500
:           0.8113    0.3793       0.8113     0.4738     0.5262     0.0523     0.0960
