# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.7223    0.2663       0.7223     0.4696     0.5304     0.0607     0.1997
"           0.7223    0.2357       0.3877     0.4163     0.5837     0.1673     0.2357
#           0.7223    0.2663       0.7223     0.3051     0.6949     0.3898     0.3991
$           0.7223    0.2280       0.7602     0.3707     0.6293     0.2586     0.3991
%           0.7223    0.2549       0.7337     0.2928     0.7072     0.4145     0.4219
&           0.7223    0.2549       0.7337     0.3048     0.6952     0.3904     0.4401
'           0.7223    0.2357       0.4031     0.4619     0.5381     0.0761     0.1445
(           0.7223    0.2357       0.8136     0.4277     0.5723     0.1445     0.2052
)           0.7223    0.2357       0.8136     0.4277     0.5723     0.1445     0.2052
*           0.7223    0.2663       0.4909     0.3818     0.6182     0.2364     0.3042
+           0.7223    0.3575       0.7223     0.3176     0.6824     0.3649     0.5017
,           0.7223    0.6462       0.8213     0.4619     0.5381     0.0761     0.1997
-           0.7223    0.5171       0.5550     0.3632     0.6368     0.2737     0.3652
.           0.7223    0.6462       0.7223     0.4619     0.5381     0.0761     0.1997
/           0.7223    0.2659       0.8136     0.4029     0.5971     0.1941     0.3310
0           0.7223    0.2549       0.7337     0.3404     0.6596     0.3193     0.3991
1           0.7223    0.2622       0.7223     0.4334     0.5666     0.1331     0.3991
2           0.7223    0.2549       0.7223     0.3632     0.6368     0.2737     0.3991
3           0.7223    0.2549       0.7337     0.3670     0.6330     0.2659     0.3991
4           0.7223    0.2663       0.7223     0.3384     0.6616     0.3233     0.3991
5           0.7223    0.2663       0.7337     0.3763     0.6237     0.2475     0.3991
6           0.7223    0.2545       0.7337     0.3442     0.6558     0.3116     0.3991
7           0.7223    0.2663       0.7223     0.3536     0.6464     0.2928     0.3991
8           0.7223    0.2545       0.7337     0.3475     0.6525     0.3051     0.3991
9           0.7223    0.2549       0.7337     0.3450     0.6550     0.3100     0.3991
:           0.7223    0.3877       0.7223     0.4696     0.5304     0.0607     0.1997
;           0.7223    0.3877       0.8213     0.4696     0.5304     0.0607     0.1997
<           0.7223    0.3575       0.7223     0.3176     0.6824     0.3649     0.5017
=           0.7223    0.4675       0.6120     0.3176     0.6824     0.3649     0.5017
>           0.7223    0.3575       0.7223     0.3176     0.6824     0.3649     0.5017
?           0.7223    0.2545       0.7223     0.3783     0.6217     0.2435     0.2663
@           0.7223    0.2549       0.7337     0.2549     0.7451     0.4903     0.5418
A           0.7223    0.2663       0.7223     0.2884     0.7116     0.4231     0.4354
B           0.7223    0.2663       0.7223     0.3610     0.6390     0.2780     0.3630
C           0.7223    0.2549       0.7337     0.3153     0.6847     0.3695     0.4367
D           0.7223    0.2663       0.7223     0.3091     0.6909     0.3818     0.4727
E           0.7223    0.2663       0.7223     0.3659     0.6341     0.2681     0.3421
F           0.7223    0.2663       0.7223     0.3726     0.6274     0.2549     0.3384
G           0.7223    0.2549       0.7337     0.3153     0.6847     0.3695     0.4561
H           0.7223    0.2663       0.7223     0.3268     0.6732     0.3464     0.4638
I           0.7223    0.2663       0.7223     0.4676     0.5324     0.0647     0.1818
J           0.7223    0.2663       0.8136     0.4018     0.5982     0.1963     0.1963
K           0.7223    0.2663       0.7223     0.3290     0.6710     0.3421     0.4120
L           0.7223    0.2663       0.7223     0.3650     0.6350     0.2700     0.3365
M           0.7223    0.2663       0.7223     0.2869     0.7131     0.4262     0.5436
N           0.7223    0.2663       0.7223     0.3257     0.6743     0.3485     0.4663
O           0.7223    0.2549       0.7337     0.2867     0.7133     0.4265     0.4903
P           0.7223    0.2663       0.7223     0.3606     0.6394     0.2789     0.3488
Q           0.7223    0.2549       0.8136     0.2636     0.7364     0.4727     0.4903
R           0.7223    0.2663       0.7223     0.3331     0.6669     0.3337     0.3991
S           0.7223    0.2549       0.7337     0.3612     0.6388     0.2777     0.3399
T           0.7223    0.2663       0.7223     0.3059     0.6941     0.3883     0.3991
U           0.7223    0.2663       0.7337     0.3364     0.6636     0.3273     0.4373
V           0.7223    0.2663       0.7223     0.3006     0.6994     0.3988     0.4126
W           0.7223    0.2663       0.7223     0.2308     0.7692     0.5384     0.5399
X           0.7223    0.2663       0.7223     0.3133     0.6867     0.3735     0.3951
Y           0.7223    0.2663       0.7223     0.3100     0.6900     0.3800     0.3932
Z           0.7223    0.2663       0.7223     0.3387     0.6613     0.3227     0.3815
[           0.7223    0.2357       0.8136     0.4391     0.5609     0.1217     0.2052
\           0.7223    0.2659       0.8136     0.4029     0.5971     0.1941     0.3310
]           0.7223    0.2357       0.8136     0.4391     0.5609     0.1217     0.2052
^           0.7223    0.2663       0.6006     0.3327     0.6673     0.3347     0.3991
_           0.7223    0.7223       0.7680     0.3689     0.6311     0.2622     0.3156
`           0.7223    0.2280       0.3270     0.4277     0.5723     0.1445     0.3877
a           0.7223    0.3803       0.7300     0.3493     0.6507     0.3014     0.3485
b           0.7223    0.2357       0.7300     0.3488     0.6512     0.3023     0.3972
c           0.7223    0.3803       0.7300     0.3706     0.6294     0.2589     0.3233
d           0.7223    0.2357       0.7300     0.3488     0.6512     0.3023     0.3972
e           0.7223    0.3800       0.7300     0.3633     0.6367     0.2733     0.3516
f           0.7223    0.2280       0.7223     0.3871     0.6129     0.2259     0.2320
g           0.7223    0.3803       0.8515     0.3488     0.6512     0.3023     0.3935
h           0.7223    0.2357       0.7223     0.3632     0.6368     0.2737     0.3917
i           0.7223    0.2663       0.7223     0.4696     0.5304     0.0607     0.1824
j           0.7223    0.2663       0.8515     0.4106     0.5894     0.1787     0.1920
k           0.7223    0.2357       0.7223     0.3521     0.6479     0.2958     0.3689
l           0.7223    0.2357       0.7223     0.4696     0.5304     0.0607     0.1824
m           0.7223    0.3800       0.7223     0.2643     0.7357     0.4715     0.5892
n           0.7223    0.3803       0.7223     0.3632     0.6368     0.2737     0.3917
o           0.7223    0.3803       0.7300     0.3404     0.6596     0.3193     0.3877
p           0.7223    0.3803       0.8441     0.3488     0.6512     0.3023     0.3972
q           0.7223    0.3803       0.8441     0.3488     0.6512     0.3023     0.3972
r           0.7223    0.3803       0.7223     0.4076     0.5924     0.1849     0.2582
s           0.7223    0.3803       0.7300     0.3875     0.6125     0.2250     0.3217
t           0.7223    0.3211       0.7300     0.4049     0.5951     0.1901     0.2361
u           0.7223    0.3877       0.7300     0.3632     0.6368     0.2737     0.3917
v           0.7223    0.3877       0.7223     0.3413     0.6587     0.3174     0.3267
w           0.7223    0.3877       0.7223     0.2609     0.7391     0.4783     0.4863
x           0.7223    0.3877       0.7223     0.3344     0.6656     0.3313     0.3871
y           0.7223    0.3877       0.8441     0.3394     0.6606     0.3211     0.3297
z           0.7223    0.3877       0.7223     0.3570     0.6430     0.2860     0.3618
{           0.7223    0.2357       0.8136     0.4220     0.5780     0.1559     0.2052
|           0.7223    0.2357       0.8136     0.4847     0.5153     0.0305     0.2357
}           0.7223    0.2357       0.8136     0.4220     0.5780     0.1559     0.2052
~           0.7223    0.4841       0.5969     0.3327     0.6673     0.3347     0.3991
¡           0.7223    0.3877       0.8441     0.4696     0.5304     0.0607     0.1997
¢           0.7223    0.2663       0.7223     0.3704     0.6296     0.2592     0.3991
£           0.7223    0.2549       0.7223     0.3698     0.6302     0.2604     0.3991
¤           0.7223    0.3248       0.6635     0.3307     0.6693     0.3387     0.3994
¥           0.7223    0.2663       0.7223     0.3213     0.6787     0.3575     0.3991
¦           0.7223    0.2357       0.8136     0.4847     0.5153     0.0305     0.2345
§           0.7223    0.2549       0.8253     0.3643     0.6357     0.2715     0.3991
¨           0.7223    0.2737       0.3270     0.4125     0.5875     0.1750     0.3877
©           0.7223    0.2549       0.7337     0.2606     0.7394     0.4789     0.5399
ª           0.7223    0.2311       0.4422     0.4060     0.5940     0.1880     0.2663
