# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
U+0005      0.7996    0.1884       0.2663     0.3764     0.6236     0.2473     0.2582
U+0006      0.7996    0.1775       0.2662     0.4312     0.5688     0.1376     0.1446
U+0008      0.7996    0.1316       0.2712     0.4302     0.5698     0.1396     0.1356
U+000A      0.7996    0.1260       0.2702     0.3579     0.6421     0.2841     0.2822
U+000B      0.7996    0.7996       0.9202     0.4452     0.5548     0.1097     0.1167
U+000C      0.7996    0.1823       0.2722     0.3823     0.6177     0.2353     0.2383
U+000D      0.7996    0.3001       0.7996     0.3829     0.6171     0.2343     0.2632
U+001A      0.7996    0.1017       0.8008     0.2147     0.7853     0.5706     0.5823
U+001B      0.7996    0.1016       0.8008     0.1663     0.8337     0.6674     0.6820
U+001C      0.7996    0.1017       0.8017     0.1413     0.8587     0.7173     0.7408
U+001D      0.7996    0.1466       0.7996     0.3126     0.6874     0.3749     0.2971
U+001E      0.7996    0.0029       0.7996     0.1127     0.8873     0.7747     0.8046
U+001F      0.7996    0.1704       0.9801     0.1989     0.8011     0.6022     0.5693
!           0.7996    0.1505       0.8018     0.4262     0.5738     0.1476     0.2762
"           0.7996    0.1017       0.3560     0.3794     0.6206     0.2413     0.3440
#           0.7996    0.1507       0.6278     0.2604     0.7396     0.4793     0.5484
$           0.7996    0.0020       0.8983     0.1705     0.8295     0.6590     0.6899
%           0.7996    0.1011       0.8076     0.2635     0.7365     0.4731     0.5743
&           0.7996    0.1017       0.9163    -0.0300     1.0300     1.0601     1.0867
'           0.7996    0.1017       0.3560     0.4551     0.5449     0.0897     0.1904
(           0.7996    0.0558       0.8003     0.3679     0.6321     0.2642     0.3649
)           0.7996    0.0552       0.7996     0.3679     0.6321     0.2642     0.3579
*           0.7996    0.1694       0.4966     0.3539     0.6461     0.2921     0.3549
+           0.7996    0.2244       0.6773     0.2739     0.7261     0.4521     0.5623
,           0.7996    0.6800       0.9454     0.4063     0.5937     0.1874     0.2782
-           0.7996    0.3899       0.5108     0.2739     0.7261     0.4521     0.5623
.           0.7996    0.6800       0.7996     0.4063     0.5937     0.1874     0.2841
/           0.7996    0.1011       0.8002     0.2669     0.7331     0.4661     0.5703
0           0.7996    0.1017       0.8016     0.1884     0.8116     0.6231     0.6710
1           0.7996    0.0997       0.8043     0.4018     0.5982     0.1964     0.2921
2           0.7996    0.1017       0.7996     0.2690     0.7310     0.4620     0.5274
3           0.7996    0.1007       0.7996     0.2762     0.7238     0.4477     0.4925
4           0.7996    0.1017       0.7996     0.1954     0.8046     0.6092     0.6660
5           0.7996    0.1077       0.7996     0.2717     0.7283     0.4566     0.4915
6           0.7996    0.1028       0.7996     0.2797     0.7203     0.4407     0.4995
7           0.7996    0.1020       0.8052     0.2702     0.7298     0.4595     0.4875
8           0.7996    0.1017       0.7996     0.2672     0.7328     0.4656     0.5025
9           0.7996    0.1017       0.8026     0.2667     0.7333     0.4666     0.5234
:           0.7996    0.4307       0.7996     0.4063     0.5937     0.1874     0.2901
;           0.7996    0.3958       0.9404     0.4063     0.5937     0.1874     0.2901
<           0.7996    0.1513       0.7498     0.3266     0.6734     0.3468     0.4407
=           0.7996    0.2902       0.6005     0.2739     0.7261     0.4521     0.5055
>           0.7996    0.1515       0.7502     0.3266     0.6734     0.3469     0.4347
?           0.7996    0.0987       0.7996     0.3594     0.6406     0.2812     0.3819
@           0.7996    0.1515       0.7996     0.1760     0.8240     0.6481     0.7537
