# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
!           0.6552    0.1654       0.7602     0.4059     0.5941     0.1883     0.1489
"           0.6552    0.1654       0.4949     0.3391     0.6609     0.3219     0.3009
#           0.6552    0.1654       0.6196     0.3050     0.6950     0.3899     0.3651
$           0.6552    0.1654       0.7710     0.3337     0.6663     0.3327     0.3079
%           0.6552    0.1202       0.8321     0.2484     0.7516     0.5032     0.4784
&           0.6552    0.2595       0.6330     0.2172     0.7828     0.5655     0.5509
'           0.6552    0.1654       0.4949     0.4059     0.5941     0.1883     0.1705
(           0.6552    0.1209       0.8117     0.3232     0.6768     0.3537     0.3340
)           0.6552    0.1209       0.8117     0.3232     0.6768     0.3537     0.3340
*           0.6552    0.3384       0.7106     0.3403     0.6597     0.3193     0.2939
+           0.6552    0.3308       0.7207     0.3368     0.6632     0.3263     0.3041
,           0.6552    0.5089       0.8384     0.4059     0.5941     0.1883     0.1686
-           0.6552    0.3639       0.6158     0.4059     0.5941     0.1883     0.1660
.           0.6552    0.5089       0.7602     0.4059     0.5941     0.1883     0.1686
/           0.6552    0.1202       0.8321     0.3302     0.6698     0.3397     0.3003
0           0.6552    0.1654       0.7672     0.2309     0.7691     0.5382     0.5140
1           0.6552    0.1654       0.7659     0.4157     0.5843     0.1686     0.1482
2           0.6552    0.1654       0.7659     0.2929     0.7071     0.4141     0.3823
3           0.6552    0.1654       0.7659     0.3238     0.6762     0.3524     0.3270
4           0.6552    0.1654       0.7659     0.3216     0.6784     0.3569     0.3352
5           0.6552    0.1654       0.7659     0.3177     0.6823     0.3645     0.3302
6           0.6552    0.1654       0.7672     0.2961     0.7039     0.4078     0.3874
7           0.6552    0.1654       0.7665     0.3152     0.6848     0.3696     0.3454
8           0.6552    0.1648       0.7659     0.3168     0.6832     0.3664     0.3448
9           0.6552    0.1654       0.7672     0.2961     0.7039     0.4078     0.3880
:           0.6552    0.3639       0.7602     0.4059     0.5941     0.1883     0.1654
;           0.6552    0.3639       0.8384     0.4059     0.5941     0.1883     0.1679
<           0.6552    0.3467       0.7042     0.3842     0.6158     0.2316     0.2080
=           0.6552    0.3473       0.7042     0.3368     0.6632     0.3263     0.3041
