# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
A           0.7929    0.0613       0.7929     0.1607     0.8393     0.6787     0.6985
B           0.7929    0.0613       0.7929     0.2771     0.7229     0.4459     0.5823
C           0.7929    0.0430       0.8112     0.2037     0.7963     0.5927     0.7004
D           0.7929    0.0613       0.7929     0.1938     0.8062     0.6125     0.7583
E           0.7929    0.0613       0.7929     0.2850     0.7150     0.4301     0.5487
F           0.7929    0.0613       0.7929     0.2956     0.7044     0.4088     0.5428
G           0.7929    0.0430       0.8112     0.2037     0.7963     0.5927     0.7316
H           0.7929    0.0613       0.7929     0.2222     0.7778     0.5556     0.7439
I           0.7929    0.0613       0.7929     0.4481     0.5519     0.1038     0.2916
J           0.7929    0.0613       0.9392     0.3426     0.6574     0.3149     0.3149
K           0.7929    0.0613       0.7929     0.2257     0.7743     0.5487     0.6609
L           0.7929    0.0613       0.7929     0.2835     0.7165     0.4330     0.5398
M           0.7929    0.0613       0.7929     0.1582     0.8418     0.6836     0.8720
N           0.7929    0.0613       0.7929     0.2205     0.7795     0.5591     0.7479
O           0.7929    0.0430       0.8112     0.1579     0.8421     0.6841     0.7865
P           0.7929    0.0613       0.7929     0.2763     0.7237     0.4474     0.5596
Q           0.7929    0.0430       0.9392     0.1209     0.8791     0.7583     0.7865
R           0.7929    0.0613       0.7929     0.2323     0.7677     0.5353     0.6401
S           0.7929    0.0430       0.8112     0.2773     0.7227     0.4454     0.5452
T           0.7929    0.0613       0.7929     0.1886     0.8114     0.6228     0.6401
U           0.7929    0.0613       0.8112     0.2375     0.7625     0.5250     0.7014
V           0.7929    0.0613       0.7929     0.1802     0.8198     0.6396     0.6619
W           0.7929    0.0613       0.7929     0.0682     0.9318     0.8636     0.8660
X           0.7929    0.0613       0.7929     0.2004     0.7996     0.5991     0.6337
Y           0.7929    0.0613       0.7929     0.1953     0.8047     0.6095     0.6307
Z           0.7929    0.0613       0.7929     0.2412     0.7588     0.5175     0.6120
a           0.7929    0.2442       0.8052     0.2583     0.7417     0.4834     0.5591
b           0.7929    0.0124       0.8052     0.2575     0.7425     0.4849     0.6372
c           0.7929    0.2442       0.8052     0.2924     0.7076     0.4152     0.5185
d           0.7929    0.0124       0.8052     0.2575     0.7425     0.4849     0.6372
e           0.7929    0.2437       0.8052     0.2808     0.7192     0.4385     0.5640
f           0.7929    0.0000       0.7929     0.3188     0.6812     0.3623     0.3722
g           0.7929    0.2442       1.0000     0.2575     0.7425     0.4849     0.6312
h           0.7929    0.0124       0.7929     0.2805     0.7195     0.4390     0.6283
i           0.7929    0.0613       0.7929     0.4513     0.5487     0.0974     0.2926
j           0.7929    0.0613       1.0000     0.3566     0.6434     0.2867     0.3080
k           0.7929    0.0124       0.7929     0.2627     0.7373     0.4745     0.5917
l           0.7929    0.0124       0.7929     0.4513     0.5487     0.0974     0.2926
m           0.7929    0.2437       0.7929     0.1218     0.8782     0.7563     0.9451
n           0.7929    0.2442       0.7929     0.2805     0.7195     0.4390     0.6283
o           0.7929    0.2442       0.8052     0.2439     0.7561     0.5121     0.6218
p           0.7929    0.2442       0.9881     0.2575     0.7425     0.4849     0.6372
q           0.7929    0.2442       0.9881     0.2575     0.7425     0.4849     0.6372
r           0.7929    0.2442       0.7929     0.3517     0.6483     0.2966     0.4142
s           0.7929    0.2442       0.8052     0.3196     0.6804     0.3609     0.5161
t           0.7929    0.1493       0.8052     0.3475     0.6525     0.3050     0.3786
u           0.7929    0.2561       0.8052     0.2805     0.7195     0.4390     0.6283
v           0.7929    0.2561       0.7929     0.2454     0.7546     0.5091     0.5240
w           0.7929    0.2561       0.7929     0.1164     0.8836     0.7672     0.7800
x           0.7929    0.2561       0.7929     0.2343     0.7657     0.5314     0.6209
y           0.7929    0.2561       0.9881     0.2425     0.7575     0.5151     0.5289
z           0.7929    0.2561       0.7929     0.2706     0.7294     0.4587     0.5803
0           0.7929    0.0430       0.8112     0.2439     0.7561     0.5121     0.6401
1           0.7929    0.0549       0.7929     0.3932     0.6068     0.2135     0.6401
2           0.7929    0.0430       0.7929     0.2805     0.7195     0.4390     0.6401
3           0.7929    0.0430       0.8112     0.2867     0.7133     0.4266     0.6401
4           0.7929    0.0613       0.7929     0.2407     0.7593     0.5185     0.6401
5           0.7929    0.0613       0.8112     0.3015     0.6985     0.3969     0.6401
6           0.7929    0.0425       0.8112     0.2501     0.7499     0.4998     0.6401
7           0.7929    0.0613       0.7929     0.2652     0.7348     0.4696     0.6401
8           0.7929    0.0425       0.8112     0.2553     0.7447     0.4894     0.6401
9           0.7929    0.0430       0.8112     0.2514     0.7486     0.4973     0.6401
