# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
A           1.0000    0.0759       1.0000     0.2597     0.7403     0.4807     0.5041
B           1.0000    0.0479       0.9746     0.2632     0.7368     0.4736     0.4980
C           1.0000    0.0537       0.9766     0.2597     0.7403     0.4807     0.5061
D           1.0000    0.0472       0.9563     0.2636     0.7364     0.4728     0.4970
E           1.0000    0.0274       1.0000     0.2597     0.7403     0.4807     0.5041
F           1.0000    0.0474       0.9096     0.2622     0.7378     0.4756     0.5010
G           1.0000    0.0555       1.0000     0.2591     0.7409     0.4817     0.5071
H           1.0000    0.0313       1.0000     0.2591     0.7409     0.4817     0.5071
I           1.0000    0.0311       1.0000     0.2594     0.7406     0.4813     0.5061
J           1.0000    0.1148       0.9766     0.2592     0.7408     0.4815     0.5071
K           1.0000    0.0191       1.0000     0.2566     0.7434     0.4868     0.5112
L           1.0000    0.0327       1.0000     0.2602     0.7398     0.4797     0.5030
M           1.0000    0.0189       0.9991     0.2566     0.7434     0.4868     0.5112
N           1.0000    0.0222       1.0000     0.2578     0.7422     0.4843     0.5122
O           1.0000    0.0524       0.9766     0.2595     0.7405     0.4809     0.5041
P           1.0000    0.0309       0.9085     0.2597     0.7403     0.4807     0.5051
Q           1.0000    0.0553       1.0000     0.2594     0.7406     0.4813     0.5061
R           1.0000    0.0491       1.0000     0.2624     0.7376     0.4752     0.5000
S           1.0000    0.0498       0.9776     0.2595     0.7405     0.4810     0.5061
T           1.0000    0.0319       0.9553     0.2597     0.7403     0.4807     0.5041
U           1.0000    0.0292       0.9776     0.2597     0.7403     0.4807     0.5051
V           1.0000    0.0318       0.9564     0.2591     0.7409     0.4817     0.5061
W           1.0000    0.0325       0.9776     0.2590     0.7410     0.4820     0.5071
X           1.0000    0.0336       1.0000     0.2610     0.7390     0.4780     0.5030
Y           1.0000    0.0333       0.9573     0.2590     0.7410     0.4820     0.5061
Z           1.0000    0.0122       1.0000     0.2547     0.7453     0.4907     0.5173
a           1.0000    0.0836       1.0000     0.2616     0.7384     0.4768     0.5020
b           1.0000    0.0680       1.0000     0.2617     0.7383     0.4766     0.5010
c           1.0000    0.0626       0.9756     0.2615     0.7385     0.4770     0.5030
d           1.0000    0.0860       1.0000     0.2617     0.7383     0.4766     0.5010
e           1.0000    0.0122       1.0000     0.2559     0.7441     0.4881     0.5132
f           1.0000    0.0467       1.0000     0.2616     0.7384     0.4767     0.5030
g           1.0000    0.0569       0.9766     0.2617     0.7383     0.4766     0.5010
h           1.0000    0.0346       1.0000     0.2602     0.7398     0.4797     0.5041
i           1.0000    0.0485       1.0000     0.2622     0.7378     0.4756     0.5000
j           1.0000    0.0335       0.9756     0.2617     0.7383     0.4766     0.5020
k           1.0000    0.0189       1.0000     0.2566     0.7434     0.4868     0.5112
l           1.0000    0.1284       1.0000     0.2617     0.7383     0.4766     0.5010
m           1.0000    0.0185       0.9991     0.2565     0.7435     0.4870     0.5122
n           1.0000    0.0122       1.0000     0.2561     0.7439     0.4878     0.5122
o           1.0000    0.0621       0.9776     0.2612     0.7388     0.4776     0.5030
p           1.0000    0.0673       1.0000     0.2611     0.7389     0.4779     0.5030
q           1.0000    0.0639       0.9787     0.2611     0.7389     0.4777     0.5030
r           1.0000    0.0671       1.0000     0.2617     0.7383     0.4766     0.5020
s           1.0000    0.0600       0.9756     0.2615     0.7385     0.4770     0.5030
t           1.0000    0.0481       0.9573     0.2614     0.7386     0.4772     0.5020
u           1.0000    0.0395       0.9787     0.2612     0.7388     0.4776     0.5041
v           1.0000    0.0426       0.9583     0.2616     0.7384     0.4769     0.5020
w           1.0000    0.0361       0.9756     0.2612     0.7388     0.4776     0.5020
x           1.0000    0.0357       1.0000     0.2605     0.7395     0.4789     0.5030
y           1.0000    0.0388       0.9553     0.2621     0.7379     0.4759     0.5000
z           1.0000    0.0353       1.0000     0.2610     0.7390     0.4780     0.5030
0           1.0000    0.0611       0.9756     0.2612     0.7388     0.4776     0.5030
1           1.0000    0.0569       0.9543     0.2713     0.7287     0.4573     0.4807
2           1.0000    0.0631       1.0000     0.2614     0.7386     0.4772     0.5020
3           1.0000    0.0630       0.9756     0.2614     0.7386     0.4772     0.5030
4           1.0000    0.1263       0.9106     0.2615     0.7385     0.4770     0.5010
5           1.0000    0.0395       1.0000     0.2615     0.7385     0.4769     0.5030
6           1.0000    0.0559       0.9756     0.2617     0.7383     0.4766     0.5010
7           1.0000    0.0416       0.9776     0.2617     0.7383     0.4766     0.5010
8           1.0000    0.0624       0.9776     0.2612     0.7388     0.4776     0.5030
9           1.0000    0.0647       0.9126     0.2616     0.7384     0.4768     0.5020
