# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
A           0.9799    0.0379       1.0312    -0.1731     1.1731     1.3462     0.7429
B           0.9799   -0.0788       0.9799     0.0394     0.9606     0.9212     0.5944
C           0.9799    0.0379       0.9792     0.1527     0.8473     0.6947     0.6300
D           0.9799    0.0000       1.0364    -0.0097     1.0097     1.0193     0.6300
E           0.9799   -0.0906       1.0542     0.0977     0.9023     0.8046     0.4918
F           0.9799   -0.1605       0.9799     0.1776     0.8224     0.6449     0.4948
G           0.9799    0.0163       1.0743     0.0386     0.9614     0.9227     0.7155
H           0.9799    0.0030       0.9874    -0.0665     1.0665     1.1330     0.6969
I           0.9799    0.0379       1.0602     0.1690     0.8310     0.6620     0.2972
J           0.9799    0.0379       0.9792     0.1122     0.8878     0.7756     0.6055
K           0.9799    0.0030       1.0944     0.1070     0.8930     0.7860     0.5312
L           0.9799    0.0015       0.9799     0.1865     0.8135     0.6270     0.4851
M           0.9799   -0.0007       1.0357    -0.1501     1.1501     1.3001     0.9658
N           0.9799   -0.0297       1.0104    -0.0605     1.0605     1.1211     0.7006
O           0.9799    0.0067       1.0282     0.0301     0.9699     0.9398     0.7429
P           0.9799   -0.0490       1.0000     0.1274     0.8726     0.7452     0.6352
Q           0.9799   -0.0527       1.0869     0.0984     0.9016     0.8031     0.6315
R           0.9799    0.0171       1.0357     0.0680     0.9320     0.8640     0.6248
S           0.9799   -0.0468       0.9799     0.0866     0.9134     0.8269     0.6382
T           0.9799   -0.1010       1.1278     0.0944     0.9056     0.8113     0.6984
U           0.9799   -0.0847       0.9799     0.0137     0.9863     0.9725     0.7712
V           0.9799   -0.0156       0.9799     0.0405     0.9595     0.9190     0.7080
W           0.9799   -0.0988       0.9799    -0.0449     1.0449     1.0899     0.9309
X           0.9799    0.0015       0.9799     0.0921     0.9079     0.8158     0.7429
Y           0.9799    0.0371       0.9799     0.0877     0.9123     0.8247     0.7429
Z           0.9799   -0.2756       1.1181     0.0684     0.9316     0.8633     0.7585
a           0.9799    0.0379       1.0312    -0.1731     1.1731     1.3462     0.7429
b           0.9799   -0.0788       0.9799     0.0394     0.9606     0.9212     0.5944
c           0.9799    0.0379       0.9792     0.1527     0.8473     0.6947     0.6300
d           0.9799    0.0000       1.0364    -0.0097     1.0097     1.0193     0.6300
e           0.9799   -0.0906       1.0542     0.0977     0.9023     0.8046     0.4918
f           0.9799   -0.1605       0.9799     0.1776     0.8224     0.6449     0.4948
g           0.9799    0.0163       1.0743     0.0386     0.9614     0.9227     0.7155
h           0.9799    0.0030       0.9874    -0.0665     1.0665     1.1330     0.6969
i           0.9799    0.0379       1.0602     0.1690     0.8310     0.6620     0.2972
j           0.9799    0.0379       0.9792     0.1122     0.8878     0.7756     0.6055
k           0.9799    0.0030       1.0944     0.1070     0.8930     0.7860     0.5312
l           0.9799    0.0015       0.9799     0.1865     0.8135     0.6270     0.4851
m           0.9799   -0.0007       1.0357    -0.1501     1.1501     1.3001     0.9658
n           0.9799   -0.0297       1.0104    -0.0605     1.0605     1.1211     0.7006
o           0.9799    0.0067       1.0282     0.0301     0.9699     0.9398     0.7429
p           0.9799   -0.0490       1.0000     0.1274     0.8726     0.7452     0.6352
q           0.9799   -0.0527       1.0869     0.0984     0.9016     0.8031     0.6315
r           0.9799    0.0171       1.0357     0.0680     0.9320     0.8640     0.6248
s           0.9799   -0.0468       0.9799     0.0866     0.9134     0.8269     0.6382
t           0.9799   -0.1010       1.1278     0.0944     0.9056     0.8113     0.6984
u           0.9799   -0.0847       0.9799     0.0137     0.9863     0.9725     0.7712
v           0.9799   -0.0156       0.9799     0.0405     0.9595     0.9190     0.7080
w           0.9799   -0.0988       0.9799    -0.0449     1.0449     1.0899     0.9309
x           0.9799    0.0015       0.9799     0.0921     0.9079     0.8158     0.7429
y           0.9799    0.0371       0.9799     0.0877     0.9123     0.8247     0.7429
z           0.9799   -0.2756       1.1181     0.0684     0.9316     0.8633     0.7585
0           0.9799    0.0379       0.9799     0.3068     0.6932     0.3863     0.4458
1           0.9799    0.0416       0.9799     0.3863     0.6137     0.2273     0.2741
2           0.9799    0.0379       0.9799     0.2385     0.7615     0.5230     0.5944
3           0.9799    0.0379       0.9799     0.2619     0.7381     0.4762     0.5996
4           0.9799    0.0319       0.9799     0.1954     0.8046     0.6092     0.6389
5           0.9799    0.0379       0.9799     0.2504     0.7496     0.4993     0.5498
6           0.9799    0.0409       0.9799     0.2485     0.7515     0.5030     0.5416
7           0.9799    0.0357       0.9799     0.1958     0.8042     0.6085     0.6278
8           0.9799    0.0409       0.9799     0.2370     0.7630     0.5260     0.5579
9           0.9799    0.0409       0.9799     0.2485     0.7515     0.5030     0.5416
