# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
-------------------------------------------------------------------------------------
A           0.7500   -0.1480       1.0740     0.1845     0.8155     0.6310     0.5770
B           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5870
C           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5910
D           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5990
E           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6020
F           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5950
G           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6000
H           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6050
I           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6070
J           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6020
K           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6040
L           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5780
M           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.6070
N           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5920
O           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5990
P           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5960
Q           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.6020
R           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5990
S           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6050
T           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5820
U           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5840
V           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6080
W           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5960
X           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6050
Y           0.7500   -0.1480       1.0740     0.1845     0.8155     0.6310     0.6070
Z           0.7500   -0.1480       1.0740     0.1825     0.8175     0.6350     0.6120
a           0.7500   -0.1480       1.0740     0.1845     0.8155     0.6310     0.5770
b           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5960
c           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5970
d           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5980
e           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5990
f           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6020
g           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6020
h           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6070
i           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6020
j           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6010
k           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6040
l           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5820
m           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.6040
n           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5870
o           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5990
p           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5890
q           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5990
r           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5980
s           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6010
t           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6100
u           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5900
v           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6070
w           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5960
x           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6010
y           0.7500   -0.1480       1.0740     0.1845     0.8155     0.6310     0.6060
z           0.7500   -0.1480       1.0740     0.1825     0.8175     0.6350     0.6080
0           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.6080
1           0.7500   -0.1480       1.0740     0.1840     0.8160     0.6320     0.5900
2           0.7500   -0.1480       1.0740     0.1825     0.8175     0.6350     0.6020
3           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6020
4           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6050
5           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6050
6           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5950
7           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.6110
8           0.7500   -0.1480       1.0740     0.1830     0.8170     0.6340     0.5940
9           0.7500   -0.1480       1.0740     0.1835     0.8165     0.6330     0.5950
