source_path	scope	warning_count_before	causes	planned_archive_path	snapshot_status	baseline_source	note
src/allcaps.rs	kernel	2	dead code=2	tools/warnings_last/src/allcaps.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/allcaps.rs	snapshot baseline before first cleanup edit
src/aud/dmg.rs	kernel	13	dead code=13	tools/warnings_last/src/aud/dmg.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/dmg.rs	snapshot baseline before first cleanup edit
src/aud/m4a.rs	kernel	28	dead code=28	tools/warnings_last/src/aud/m4a.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/m4a.rs	snapshot baseline before first cleanup edit
src/aud/m4a_demux.rs	kernel	59	dead code=59	tools/warnings_last/src/aud/m4a_demux.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/m4a_demux.rs	snapshot baseline before first cleanup edit
src/aud/mod.rs	kernel	17	dead code=17	tools/warnings_last/src/aud/mod.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/mod.rs	snapshot baseline before first cleanup edit
src/aud/pattern.rs	kernel	4	dead code=4	tools/warnings_last/src/aud/pattern.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/pattern.rs	snapshot baseline before first cleanup edit
src/aud/pcm_convert.rs	kernel	5	dead code=5	tools/warnings_last/src/aud/pcm_convert.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/pcm_convert.rs	snapshot baseline before first cleanup edit
src/aud/player.rs	kernel	2	dead code=2	tools/warnings_last/src/aud/player.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/player.rs	snapshot baseline before first cleanup edit
src/aud/synth.rs	kernel	8	dead code=8	tools/warnings_last/src/aud/synth.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/synth.rs	snapshot baseline before first cleanup edit
src/aud/tables.rs	kernel	3	dead code=3	tools/warnings_last/src/aud/tables.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/aud/tables.rs	snapshot baseline before first cleanup edit
src/cpu.rs	kernel	2	dead code=2	tools/warnings_last/src/cpu.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/cpu.rs	snapshot baseline before first cleanup edit
src/disc/block.rs	kernel	4	dead code=4	tools/warnings_last/src/disc/block.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/disc/block.rs	snapshot baseline before first cleanup edit
src/gpu/physical.rs	kernel	2	dead code=2	tools/warnings_last/src/gpu/physical.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/gpu/physical.rs	snapshot baseline before first cleanup edit
src/gpu/vgpu.rs	kernel	8	dead code=8	tools/warnings_last/src/gpu/vgpu.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/gpu/vgpu.rs	snapshot baseline before first cleanup edit
src/gpu/vram.rs	kernel	4	dead code=4	tools/warnings_last/src/gpu/vram.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/gpu/vram.rs	snapshot baseline before first cleanup edit
src/hv/blueprint/blueprint.rs	kernel	2	dead code=2	tools/warnings_last/src/hv/blueprint/blueprint.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/hv/blueprint/blueprint.rs	snapshot baseline before first cleanup edit
src/hv/guest_work.rs	kernel	8	dead code=8	tools/warnings_last/src/hv/guest_work.rs	pending	dcf16f69b46a176219c55649e405a452ed0a4bf0:src/hv/guest_work.rs	snapshot baseline before first cleanup edit
